Sofware o fuente;Area de identificacion;Modulo(QUERY);Nombre Query;Modulo(TABLA);Tabla;Nombre tecnico;Nombre completo;Nombre dato;Definición;Tipo de Dato:;Valor Máximo Permitido:;valores permitidos;tipo de ingreso del dato ;Encargado
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_numcont;@OK1_EXE_CONTR_HEAD.U_numcont;Numero Contrato;Numero del contrato de Prevision;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_estado;@OK1_EXE_CONTR_HEAD.U_estado;Estado del Contrato;Estado del contrato de prevision;Combo;Indefinido;Combo;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_tipCont;@OK1_EXE_CONTR_HEAD.U_tipCont;Tipo de Contrato;Tipo de contrato (NUEVO, CAMBIO, RECUPERADO);Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_valor;@OK1_EXE_CONTR_HEAD.U_valor;Valor Mensual;Valor mensual de la cuota a pagar;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_sucur;@OK1_EXE_CONTR_HEAD.U_sucur;Sucursal;Agencia a la que corresponde el contrato;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_plan;@OK1_EXE_CONTR_HEAD.U_plan;Identid. Del Plan;Indentificacion del Plan (codigo);Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nompla;@OK1_EXE_CONTR_HEAD.U_nompla;Nombre Plan;Nombre del Plan;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_cenCosto;@OK1_EXE_CONTR_HEAD.U_cenCosto;Cen. de Costo Dim 1;Centro de Costo 1;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_cenCosto1;@OK1_EXE_CONTR_HEAD.U_cenCosto1;Cen. de Costo Dim 2;Centro de Costo 2;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Vendedores;OSLP;U_CardCode;OSLP.U_CardCode;Codigo Socio Negocios;Codigo socio de Negocios;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomVnd;@OK1_EXE_CONTR_HEAD.U_nomVnd;Nombre de Vendedor;Nombre de Vendedor del contrato;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;DocEntry;@OK1_EXE_CONTR_HEAD.DocEntry;DocEntry;Numero identificador consecutivo del contrato de prevision;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_numcont;@OK1_EXE_CONTR_HEAD.U_numcont;Numero Contrato;Numero del contrato de Prevision;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_contrant;@OK1_EXE_CONTR_HEAD.U_contrant;Contratante;Numero de documento del contratante con el prefijo C;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_ncontrat;@OK1_EXE_CONTR_HEAD.U_ncontrat;Nombre del Contrante;Nombre y apellido del contratante;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;CreateDate;@OK1_EXE_CONTR_HEAD.CreateDate;CreateDate;Fecha de Creacion del contrato en SAP;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_R_FECRCO;@OK1_EXE_CONTR_HEAD.U_R_FECRCO;Fecha Crea Contrato;Fecha de Firma del Contrato;Fecha;Indefinido;Fecha;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_estado;@OK1_EXE_CONTR_HEAD.U_estado;Estado del Contrato;Estado del contrato de prevision;Combo;Indefinido;Combo;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_tipCont;@OK1_EXE_CONTR_HEAD.U_tipCont;Tipo de Contrato;Tipo de contrato (NUEVO, CAMBIO, RECUPERADO);Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_sucur;@OK1_EXE_CONTR_HEAD.U_sucur;Sucursal;Agencia a la que corresponde el contrato;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomcon;@OK1_EXE_CONTR_HEAD.U_nomcon;Nombre Convenio;Nombre del convenio al cual pertenece;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_conve;@OK1_EXE_CONTR_HEAD.U_conve;Convenio;Codigo Convenio;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomuen;@OK1_EXE_CONTR_HEAD.U_nomuen;Nombre UEN;Nombre Unidad Estrategica de Negocios;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Seguros;@OK1_EXE_CONT_SEGURO;U_codSeg;@OK1_EXE_CONT_SEGURO.U_codSeg;Código Seguro;Código del seguro;Texto;S05_0001;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Seguros;@OK1_EXE_CONT_SEGURO;U_nomSeg;@OK1_EXE_CONT_SEGURO.U_nomSeg;Nombre Seguro;Nombre del Seguro;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Seguros;@OK1_EXE_CONT_SEGURO;U_valor;@OK1_EXE_CONT_SEGURO.U_valor;Valor Asegurado;Monto de cobertura;Numérico;28862;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Seguros;@OK1_EXE_CONT_SEGURO;U_fecIng;@OK1_EXE_CONT_SEGURO.U_fecIng;Fecha de Ingreso;Fecha de Ingreso al seguro;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Seguros;@OK1_EXE_CONT_SEGURO;U_cvend;@OK1_EXE_CONT_SEGURO.U_cvend;Código Vendedor;Codigo del vendedor del Seguro;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Seguros;@OK1_EXE_CONT_SEGURO;U_nvend;@OK1_EXE_CONT_SEGURO.U_nvend;Nombre Vendedor;Nombre de Vendedor del seguro;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Vendedores;OSLP;U_CardCode;OSLP.U_CardCode;Codigo Socio Negocios;Codigo socio de Negocios;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Ventas de Seguros;Vendedores;OSLP;SlpName;OSLP.SlpName;Sales Employee Name;Nombre de Vendedor del contrato;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;DocNum;ORCT.DocNum;Document Number;Numero de la transferencia (Reacaudo);Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;Canceled;ORCT.Canceled;Canceled;Estado del Pago;Texto;1;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;CardCode;ORCT.CardCode;Customer/Vendor Code;Numero de documento del contratante con el prefijo C;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;DocDate;ORCT.DocDate;Posting Date;Fecha de registro del pago;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;CardName;ORCT.CardName;Customer/Vendor Name;Nombre y apellido del contratante;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;CashSum;ORCT.CashSum;Cash Amount;Valor pagado a la compañía;Numérico;6037000;Numérico;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;Comments;ORCT.Comments;Remarks;Observaciones del pago (campo de comentarios);Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;JrnlMemo;ORCT.JrnlMemo;Journal Remarks;Detalles pago (cortes que paga y metodo de pago);Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;U_vrcode;ORCT.U_vrcode;Comisionista;Comisionista;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;U_contra;ORCT.U_contra;Contrato;Contrato al cual se le asigna el pago (DOCENTRY);Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;U_contrat;ORCT.U_contrat;Contratante;Numero de documento del contratante con el prefijo C;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;U_conve;ORCT.U_conve;Convenio;Codigo Convenio;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Pagos;ORCT;U_prenecesidad;ORCT.U_prenecesidad;Pago Prenecesidad;Indicativo pago Prenecesidad;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;DocEntry;@OK1_EXE_CONTR_HEAD.DocEntry;DocEntry;Contrato de prevision al cual se le asigna el pago (DOCENTRY);Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_contrant;@OK1_EXE_CONTR_HEAD.U_contrant;Contratante;Numero de documento del contratante con el prefijo C;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_conve;@OK1_EXE_CONTR_HEAD.U_conve;Convenio;Codigo Convenio;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_estado;@OK1_EXE_CONTR_HEAD.U_estado;Estado del Contrato;Estado del contrato de prevision;Combo;Indefinido;Combo;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomuen;@OK1_EXE_CONTR_HEAD.U_nomuen;Nombre UEN;Nombre Unidad Estrategica de Negocios;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_valor;@OK1_EXE_CONTR_HEAD.U_valor;Valor Mensual;Valor mensual de la cuota a pagar;Numérico;6037000;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomVnd;@OK1_EXE_CONTR_HEAD.U_nomVnd;Nombre de Vendedor;Nombre de Vendedor del contrato;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_sucur;@OK1_EXE_CONTR_HEAD.U_sucur;Sucursal;Agencia a la que corresponde el contrato;Combo;Indefinido;Combo;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;CONSULTA RECAUDO PGO_RECIBIDO;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_R_FECRCO;@OK1_EXE_CONTR_HEAD.U_R_FECRCO;Fecha Crea Contrato;Fecha de Creacion del contrato en SAP;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;DocEntry;@OK1_EXE_CONT_BENEFI.DocEntry;DocEntry;Numero identificador consecutivo del contrato de prevision;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_numcont;@OK1_EXE_CONTR_HEAD.U_numcont;Numero Contrato;Numero del contrato de Prevision;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_contrant;@OK1_EXE_CONTR_HEAD.U_contrant;Contratante;Numero de documento del contratante con el prefijo C;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_ncontrat;@OK1_EXE_CONTR_HEAD.U_ncontrat;Nombre del Contrante;Nombre y apellido del contratante;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_fecIng;@OK1_EXE_CONT_BENEFI.U_fecIng;Fecha Ingreso;Fecha de ingreso del beneficiario;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_nvend;@OK1_EXE_CONT_BENEFI.U_nvend;Nombre Vendedor;Nombre de Vendedor del contrato;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_estado;@OK1_EXE_CONTR_HEAD.U_estado;Estado del Contrato;Estado del contrato de prevision;Combo;Indefinido;Combo;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_parent;@OK1_EXE_CONT_BENEFI.U_parent;Parentesco;El parentesco de los beneficiarios directamente con el contratante ;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_sucur;@OK1_EXE_CONTR_HEAD.U_sucur;Sucursal;Agencia a la que corresponde el contrato;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomcon;@OK1_EXE_CONTR_HEAD.U_nomcon;Nombre Convenio;Nombre del convenio al cual pertenece;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_conve;@OK1_EXE_CONTR_HEAD.U_conve;Convenio;Codigo Convenio;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomuen;@OK1_EXE_CONTR_HEAD.U_nomuen;Nombre UEN;Nombre Unidad Estrategica de Negocios;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_valor;@OK1_EXE_CONT_BENEFI.U_valor;Valor Mensual;Valor beneficiarios adicionales;Numérico;73202;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;CreateDate;@OK1_EXE_CONTR_HEAD.CreateDate;CreateDate;Fecha de Creacion del contrato en SAP;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_R_FECRCO;@OK1_EXE_CONTR_HEAD.U_R_FECRCO;Fecha Crea Contrato;Fecha de Firma del Contrato;Fecha;Indefinido;Fecha;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_nombre;@OK1_EXE_CONT_BENEFI.U_nombre;Primer Nombre;Primer Nombre Afiliado;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_snombre;@OK1_EXE_CONT_BENEFI.U_snombre;Segundo Nombre;Segundo Nombre Afiliado;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_pape;@OK1_EXE_CONT_BENEFI.U_pape;Primer Apellido;Primer Apellido Afiliado;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_sape;@OK1_EXE_CONT_BENEFI.U_sape;Segundo Apellido;Segundo Apellido Afiliado;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_aplVlrExtra;@OK1_EXE_CONT_BENEFI.U_aplVlrExtra;Aplica Valor Extra Prima;Indicativo si se aplica cobro por beneficiario;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Consulta Adicionales;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_fecVlrExtra;@OK1_EXE_CONT_BENEFI.U_fecVlrExtra;Fecha Inicio Valor Extra;Fecha inicio valor extra beneiciarios;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Beneficiarios;@OK1_EXE_CONT_BENEFI;DocEntry;@OK1_EXE_CONT_BENEFI.DocEntry;DocEntry;Numero identificador consecutivo del contrato de prevision;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_numcont;@OK1_EXE_CONTR_HEAD.U_numcont;Numero Contrato;Numero del contrato de Prevision;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_contrant;@OK1_EXE_CONTR_HEAD.U_contrant;Contratante;Numero de documento del contratante con el prefijo C;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_ncontrat;@OK1_EXE_CONTR_HEAD.U_ncontrat;Nombre del Contrante;Nombre y apellido del contratante;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_fecIng;@OK1_EXE_CONT_BENEFI.U_fecIng;Fecha Ingreso;Fecha de Firma del Contrato;Fecha;Indefinido;Fecha;Humano;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_nvend;@OK1_EXE_CONT_BENEFI.U_nvend;Nombre Vendedor;Nombre Vendedor Serv Ctte;Texto;Indefinido;Texto;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_estado;@OK1_EXE_CONTR_HEAD.U_estado;Estado del Contrato;Estado del contrato de prevision;Combo;Indefinido;Combo;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_parent;@OK1_EXE_CONT_BENEFI.U_parent;Parentesco;El parentesco de los beneficiarios directamente con el contratante ;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_sucur;@OK1_EXE_CONTR_HEAD.U_sucur;Sucursal;Agencia a la que corresponde el contrato;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomcon;@OK1_EXE_CONTR_HEAD.U_nomcon;Nombre Convenio;Nombre del convenio al cual pertenece;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_conve;@OK1_EXE_CONTR_HEAD.U_conve;Convenio;Codigo Convenio;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomuen;@OK1_EXE_CONTR_HEAD.U_nomuen;Nombre UEN;Nombre Unidad Estrategica de Negocios;Combo;Indefinido;Combo;Humano;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_valor;@OK1_EXE_CONT_BENEFI.U_valor;Valor Mensual;Valor Mensual del Servicio al Ctte;Numérico;35000;Numérico;Humano;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Afiliaciones;@OK1_EXE_CONTR_HEAD;CreateDate;@OK1_EXE_CONTR_HEAD.CreateDate;CreateDate;Fecha de Creacion del contrato de previsión en SAP;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Ventas;Consulta Servicio al Contratante;Beneficiarios;@OK1_EXE_CONT_BENEFI;U_nombre;@OK1_EXE_CONT_BENEFI.U_nombre;Primer Nombre;Primer Nombre contratante;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
